area_project,line,line_sub,usecase,type,digital_lever
Maintenance,maintenance technician,shadowing_0,"""live solving"" for line support's paperwork",Local Idea,Digital Ways of Working
Large Liquid MFG,MUV,MUV,#8 Fitration Batch Size Increase,Local Idea,Other / Analogue
Dry Part (Auto),Piggyback,shadowing_0,(Kaizen) Air Knocker on Powder Discharger Pipe,Local Idea,Advanced Production Method and Material
Warehouse,warehouse material flow 1,material flow 1,(Kaizen) Digital Mapping of Material Movements in EB,Local Idea,Advanced Analytics
Large Liquid MFG,KO Batching (BIG),process_variability,(Kaizen) Exploration of Existing Tools for Material Transfer,Local Idea,Advanced Production Method and Material
Liquid Filling (Auto),Serac 8HD,OEE top 1,(Kaizen) Improving Uptime of eCapper in Serac 8HD Filler,Local Idea,Advanced Analytics
Large Liquid MFG,KO Batching (BIG),shadowing_0,"(Kaizen) Installation of Rotary Jet Head, Process Mapping & Data Analysis to Optimize CIP",Local Idea,Advanced Production Method and Material
Liquid Filling (Auto),Serac 8HD,shadowing_0,(Kaizen) Larger Label Plates + Print and Apply for IBC (Fiege Filler),Local Idea,Advanced Production Method and Material
Liquid Filling (Auto),Serac 8HD,shadowing_0,(Kaizen) Platform Lifter to Transfer Empty IBC onto Fiege Line,Local Idea,Advanced Production Method and Material
Large Liquid MFG,KO Batching (BIG),shadowing_0,(Kaizen) Reduction of Weight Verification from Daily to Weekly,Local Idea,Advanced Analytics
Dry Part (Auto),Piggyback,shadowing_0,(Kaizen) Replication of Iris Valve from FFS for Supersack Dumping,Local Idea,Other / Analogue
Large Liquid MFG,KO Batching (BIG),shadowing_0,(Kaizen) Replication of Lab Density Meter into Production for Sample Injection,Local Idea,Other / Analogue
Liquid Kitchen,Flexi Filling,shadowing_0,(Kaizen) Tools for Manual Additional of Ingredient into Mobile Tank,Local Idea,Advanced Production Method and Material
Liquid Filling (Auto),Filling Liquid Part Manufacturing 01,OEE top 3,1 robot to feed the drum and palletizing for 2 lines,Local Idea,Advanced Production Method and Material
Maintenance,Please Select,shadowing_0,2 points of internet access to the plant,Local Idea,Digital Management Tools & Connectivity
Large Liquid MFG,BB Room 10KL tank1,OEE top 1,34 mixing cooling system extension to BB Room,Local Idea,Other / Analogue
Maintenance,Maintenance,Process,3D Printing of Palletiser Spare Parts,Local Idea,Advanced Production Method and Material
Maintenance,Maintenance,Process,3d spare part printing (additive manufacturing),Local Idea,Advanced Production Method and Material
Maintenance,Quality Lab,Root Cause Process,Aa for water usage and treatment,Local Idea,Advanced Analytics
Others / Multiple Areas,quality lab_technician,dilo,Aa sle toolkit,Local Idea,Advanced Analytics
Warehouse,Warehouse,Process,Activate loading dock 3 near TPS B3 to shortening transport time,Local Idea,Digital Ways of Working
Warehouse,warehouse material flow 1,material flow 1,Activated dedicated new area for staging (Near Flexicon),Local Idea,Digital Ways of Working
Liquid Filling (Auto),Serac 8h,OEE top 2,Add more lgvs,Local Idea,Advanced Production Method and Material
Dry Part (Auto),Combi L2,OEE top 1,Add more lgvs,Local Idea,Advanced Production Method and Material
Warehouse,Warehouse,Process,Add more lgvs,Local Idea,Advanced Production Method and Material
Liquid Filling (Auto),Liquid 8HD Filling Line,OEE top 1,Additional 8 heads filling line for 18.5l drum,Local Idea,Advanced Production Method and Material
Dry Part (Manual),Manual Station,shadowing_3,Additional collischan machine for colour room,Local Idea,Advanced Production Method and Material
Maintenance,SKU,shadowing_0,Additional filler head on line 1,Local Idea,Advanced Production Method and Material
Maintenance,Tank #5,shadowing_0,Additional homogenizer,Local Idea,Other / Analogue
Liquid Kitchen,Liquid Flexi Filling,shadowing_0,Adjustable platform for batching tanks,Local Idea,Other / Analogue
Others / Multiple Areas,scheduling,scheduling,Adoption of Dynamic Scheduling,Local Idea,Digital Management Tools & Connectivity
Others / Multiple Areas,scheduling,scheduling,Adoption of IBP - Supply Planning,Local Idea,Digital Management Tools & Connectivity
Others / Multiple Areas,IT/OT,IT/OT_Process,Advance analytics For machine Parameters,Local Idea,Advanced Analytics
Maintenance,Maintenance,Process,Advanced analytics for wwtp digitalization,Local Idea,Digital Management Tools & Connectivity
Warehouse,warehouse technician,shadowing_0,Advanced Robotics for Mixed Palletisation in Picking Process,Local Idea,Advanced Production Method and Material
Warehouse,Liquid 8HD Filling Line,shadowing_1,Agv application in packing & filler drum unloading,Local Idea,Advanced Production Method and Material
Dry Part (Auto),Piggyback,OEE top 2,AGV for Material Delivery (Level 2),Local Idea,Advanced Production Method and Material
Warehouse,warehouse material flow,material flow,AGV for packaging supply,Local Idea,Advanced Production Method and Material
Warehouse,Serac 20L Filler,IT/OT,Agv for receiving to asra,Local Idea,Advanced Production Method and Material
Warehouse,Warehouse,Process,AGV Implementation,Local Idea,Digital Management Tools & Connectivity
Liquid Filling (Auto),Serac 8HD,material flow,AGV Supply of Packaging Material to L1 Liquid Filling Areas,Local Idea,Advanced Production Method and Material
Warehouse,Warehouse,Process,Agv to move fg from palletizer to stagging area,Local Idea,Advanced Production Method and Material
Maintenance,Maintenance,Process,AI analytics to determine min max spare part,Local Idea,Advanced Analytics
Liquid Filling (Auto),MUV,MUV,Air Purging,Local Idea,Advanced Production Method and Material
Liquid Filling (Auto),1 TON FILLING ROOM,OEE top 1,Air purging system,Local Idea,Advanced Production Method and Material
Others / Multiple Areas,scheduling,scheduling,Alert monitoring,Local Idea,Digital Ways of Working
Liquid Filling (Auto),Serac 8HD,OEE top 1,Analysis of Filling Weight Variation,Local Idea,Advanced Analytics
Quality Lab,Quality Lab,Process,Analytical solution digital control,Local Idea,Digital Ways of Working
Dry Part (Manual),Dry Hand Filled  Kitchen,OEE top 3,Andon dp lever hopper,Local Idea,Other / Analogue
Dry Part (Manual),Manual Kitting,OEE top 2,AR Training Guides for New Hire,Local Idea,Digital Ways of Working
Warehouse,Warehouse,Process,A-safe  sensor racks,Local Idea,Advanced Production Method and Material
Others / Multiple Areas,IT/OT,IT/OT_Process,Asset Advisor Dry and Liquid Filling,Local Idea,Digital Management Tools & Connectivity
Dry Part (Auto),Dry Mix SKU Filling line,shadowing_3,Auto Box Former with Bottom Taping,Local Idea,Advanced Production Method and Material
Liquid Filling (Auto),ACME Filler,shadowing_0,"Auto cans depalletization, loading and Inspection.",Local Idea,Advanced Production Method and Material
Dry Part (Auto),Piggyback,OEE top 2,Auto Carton Box Sleeves Replenishment (POC),Local Idea,Advanced Production Method and Material
Dry Part (Auto),Filling Dry Part Manufacturing 01,shadowing_3,Auto carton forming and bag insertion,Local Idea,Advanced Production Method and Material
Liquid Filling (Auto),Sprite Filling Room,OEE top 3,Auto clamping system for bison tank CIP,Local Idea,Advanced Production Method and Material
Dry Part (Auto),1 TON FILLING ROOM,shadowing_0,Auto clamping system for bison tank CIP,Local Idea,Advanced Production Method and Material
Liquid Filling (Auto),Serac 8HD,OEE top 1,Auto Exchanger for Stretch Wrapper (POC),Local Idea,Advanced Production Method and Material
Liquid Kitchen,Filling Liquid Part Manufacturing 02,OEE top 2,Auto filler process for LF02,Local Idea,Advanced Production Method and Material
Dry Part (Auto),Piggyback,OEE top 2,Auto Gusset Roll Exchanger (POC),Local Idea,Advanced Production Method and Material
Dry Part (Auto),Filling Dry Part Manufacturing 01,shadowing_3,Auto palletizer,Local Idea,Advanced Production Method and Material
Dry Part (Auto),Dry Mix SKU Filling line,OEE top 2,Auto Preparation of PE bags and online labelling of PE bags at PE bags inserter (SKU Line),Local Idea,Advanced Production Method and Material
Dry Part (Auto),Dry Semi Auto Line,shadowing_0,Automate bag inserter,Local Idea,Advanced Production Method and Material
Dry Part (Auto),DRY SEMI-AUTO ROOM (K-Tron),shadowing_2,Automate bag inserter,Local Idea,Advanced Production Method and Material
Liquid Filling (Auto),Serac 8HD,OEE top 3,Automate Stretch Wrap Removal for KO Filling Line,Local Idea,Advanced Production Method and Material
Liquid Filling (Auto),Liquid 8HD Filling Line,OEE top 1,Automated air purge during cip process,Local Idea,Advanced Production Method and Material
Large Liquid MFG,BB Batching,shadowing_1,Automated air purge sequence to buildup pressure,Local Idea,Advanced Production Method and Material
Maintenance,maintenance PM technician,shadowing_0,Automated alert system for maintenance,Local Idea,Digital Management Tools & Connectivity
Dry Part (Manual),Manual Station,shadowing_3,Automated bag labeling with print and apply (color),Local Idea,Advanced Production Method and Material
Dry Part (Manual),Manual Station,shadowing_1,Automated bag labeling with print and apply (manual filling),Local Idea,Advanced Production Method and Material
